TRANSACTION_DATE,TRANSACTION_TYPE,EXPENSE,AMOUNT,CURRENCY
18.11.2017,debit,gas station,-7.57,EUR
18.11.2017,debit,supermarket,-11.12,EUR
18.11.2017,Cash Deposit/Withdrawal,cash withdrawal,-60,EUR
18.11.2017,debit,takeaway food,-15.5,EUR
18.11.2017,debit,online learning,-29.49,EUR
15.11.2017,Cash Deposit/Withdrawal,cash withdrawal,-60,EUR
15.11.2017,debit,parking,-3.6,EUR
15.11.2017,debit,takeaway food,-13.53,EUR
15.11.2017,debit,internet,-39.9,EUR
14.11.2017,debit,coffee,-10.07,EUR
14.11.2017,debit,takeaway food,-11.35,EUR
13.11.2017,debit,takeaway food,-11,EUR
12.11.2017,debit,takeaway food,-11.99,EUR
12.11.2017,debit,paypal,-9.99,EUR
12.11.2017,debit,takeaway food,-20.9,EUR
12.11.2017,debit,netflix,-11.99,EUR
11.11.2017,Cash Deposit/Withdrawal,cash withdrawal,-84.99,EUR
11.11.2017,credit,money transfer,50,EUR
11.11.2017,debit,takeaway food,-11.99,EUR
08.11.2017,debit,gas station,-49.72,EUR
06.11.2017,debit,coffee,-13,EUR
06.11.2017,debit,gas station,-7.37,EUR
06.11.2017,debit,paypal,-67.46,EUR
06.11.2017,debit,car insurance,-154.54,EUR
05.11.2017,Cash Deposit/Withdrawal,cash withdrawal,-90,EUR
05.11.2017,debit,gas station,-43.77,EUR
05.11.2017,debit,takeaway food,-25.6,EUR
05.11.2017,debit,book store,-7.99,EUR
05.11.2017,debit,takeaway food,-11,EUR
05.11.2017,debit,takeaway food,-21.2,EUR
05.11.2017,debit,takeaway food,-20.08,EUR
04.11.2017,credit,money transfer,900,EUR
04.11.2017,debit,book store,-79.97,EUR
04.11.2017,transfer,rent,-1490,EUR
04.11.2017,debit,health insurance,-45,EUR
04.11.2017,debit,gas,-58,EUR
04.11.2017,debit,paypal,-17.78,EUR
04.11.2017,debit,gas station,-27.05,EUR
04.11.2017,debit,health insurance,-390,EUR
01.11.2017,debit,clothing,-9.99,EUR
01.11.2017,debit,electricity,-40,EUR
01.11.2017,debit,loan,-149.1,EUR
01.11.2017,debit,gym,-15,EUR
01.11.2017,debit,public transportation ,-85.1,EUR
01.11.2017,debit,car rate,-350,EUR
31.10.2017,interest/charges,interest,-0.8,EUR
31.10.2017,Cash Deposit/Withdrawal,cash withdrawal,-350,EUR
31.10.2017,debit,gas station,-37.05,EUR
31.10.2017,debit,parking,-3.6,EUR
31.10.2017,debit,hardware store,-382.85,EUR
31.10.2017,debit,paypal,-1.99,EUR
30.10.2017,debit,mcdonalds,-7.18,EUR
30.10.2017,debit,fine,-29,EUR
30.10.2017,debit,travel insurance,-42,EUR
30.10.2017,debit,travel insurance,-835,EUR
29.10.2017,credit,money transfer,19,EUR
29.10.2017,debit,parking,-6,EUR
29.10.2017,debit,gas station,-55.4,EUR
29.10.2017,debit,takeaway food,-15.5,EUR
29.10.2017,debit,paypal,-3.75,EUR
29.10.2017,debit,takeaway food,-16.49,EUR
29.10.2017,debit,spotify,-9.99,EUR
29.10.2017,debit,takeaway food,-11.35,EUR
28.10.2017,debit,clothing,-150.35,EUR
28.10.2017,credit,income,5781.69,EUR
28.10.2017,debit,credit card,-346.31,EUR
28.10.2017,debit,telephone,-99.98,EUR
25.10.2017,debit,supermarket,-23.99,EUR
25.10.2017,debit,paypal,-39.2,EUR
24.10.2017,debit,gas station,-51.82,EUR
24.10.2017,debit,online learning,-71,EUR
23.10.2017,debit,gas station,-9.36,EUR
22.10.2017,debit,money withdrawal,-139.91,EUR
22.10.2017,debit,takeaway food,-10.34,EUR
22.10.2017,debit,takeaway food,-11.5,EUR
22.10.2017,debit,takeaway food,-20.7,EUR
