TRANSACTION_DATE,TRANSACTION_TYPE,EXPENSE,AMOUNT,CURRENCY
04.05.2018,debit,health insurance,-390,EUR
04.05.2018,debit,gas station,-27.05,EUR
04.05.2018,debit,electricity,-40,EUR
04.05.2018,debit,loan,-350.56,EUR
04.05.2018,debit,public transportation ,-87.2,EUR
30.04.2018,interest/charges,interest,-0.8,EUR
30.04.2018,debit,paypal,-4.82,EUR
29.04.2018,debit,paypal,-22.61,EUR
28.04.2018,debit,telephone,-70.8,EUR
28.04.2018,debit,takeaway food,-14.3,EUR
28.04.2018,debit,takeaway food,-15.2,EUR
28.04.2018,debit,spotify,-9.99,EUR
28.04.2018,debit,takeaway food,-19.5,EUR
28.04.2018,debit,paypal,-9.99,EUR
27.04.2018,interest/charges,interest,0,EUR
27.04.2018,debit,takeaway food,-16.1,EUR
27.04.2018,debit,takeaway food,-37,EUR
27.04.2018,debit,telephone,-1,EUR
24.04.2018,credit,income,7608.5,EUR
23.04.2018,debit,internet,-39.9,EUR
22.04.2018,debit,gas station,-33.38,EUR
21.04.2018,debit,paypal,-22.91,EUR
21.04.2018,debit,online learning,-44,EUR
21.04.2018,debit,online learning,-35,EUR
17.04.2018,debit,telephone,-1,EUR
16.04.2018,debit,online learning,-29.49,EUR
15.04.2018,debit,paypal,-31.49,EUR
15.04.2018,debit,paypal,-32.49,EUR
15.04.2018,debit,paypal,-20.81,EUR
15.04.2018,debit,netflix,-11.99,EUR
15.04.2018,debit,takeaway food,-14.3,EUR
15.04.2018,debit,paypal,-9.99,EUR
15.04.2018,debit,paypal,-79.99,EUR
15.04.2018,debit,takeaway food,-15.2,EUR
14.04.2018,debit,gas station,-18.54,EUR
14.04.2018,debit,supermarket,-57.61,EUR
14.04.2018,debit,paypal,-24.99,EUR
09.04.2018,debit,takeaway food,-22.7,EUR
09.04.2018,debit,paypal,-50,EUR
08.04.2018,debit,paypal,-5.49,EUR
08.04.2018,debit,takeaway food,-33.2,EUR
07.04.2018,debit,takeaway food,-27.2,EUR
06.04.2018,debit,money withdrawal,-125.14,EUR
06.04.2018,transfer,rent,-1490,EUR
06.04.2018,debit,paypal,-5.49,EUR
03.04.2018,debit,paypal,-18.12,EUR
03.04.2018,debit,paypal,-69,EUR
01.04.2018,debit,supermarket,-57.16,EUR
01.04.2018,debit,paypal,-21.26,EUR
01.04.2018,debit,gas,-58,EUR
01.04.2018,debit,health insurance,-45,EUR
01.04.2018,debit,car insurance,-158.35,EUR
01.04.2018,debit,health insurance,-390,EUR
01.04.2018,debit,loan,-350.56,EUR
01.04.2018,debit,gym,-15,EUR
01.04.2018,debit,takeaway food,-24.87,EUR
01.04.2018,debit,loan,-149.1,EUR
01.04.2018,debit,gas station,-27.05,EUR
01.04.2018,debit,takeaway food,-22.7,EUR
01.04.2018,debit,taxes,-52.5,EUR
01.04.2018,debit,electricity,-40,EUR
01.04.2018,debit,public transportation ,-87.2,EUR
01.04.2018,debit,car rate,-350,EUR
31.03.2018,interest/charges,interest,-33.72,EUR
31.03.2018,interest/charges,interest,-0.8,EUR
31.03.2018,debit,paypal,-22.61,EUR
31.03.2018,debit,paypal,-1.99,EUR
31.03.2018,debit,takeaway food,-22.7,EUR
30.03.2018,debit,credit card,-678.46,EUR
30.03.2018,debit,takeaway food,-27,EUR
30.03.2018,debit,spotify,-9.99,EUR
27.03.2018,debit,telephone,-99.98,EUR
26.03.2018,credit,income,6390.87,EUR
26.03.2018,debit,paypal,-9.99,EUR
26.03.2018,debit,takeaway food,-22.7,EUR
25.03.2018,debit,takeaway food,-23.4,EUR
24.03.2018,debit,takeaway food,-23.18,EUR
24.03.2018,debit,takeaway food,-21.2,EUR
23.03.2018,debit,supermarket,-73.68,EUR
23.03.2018,debit,takeaway food,-20.5,EUR
23.03.2018,debit,takeaway food,-24.5,EUR
23.03.2018,debit,online learning,-35,EUR
19.03.2018,debit,fine,-34,EUR
18.03.2018,debit,gas station,-50.54,EUR
18.03.2018,debit,paypal,-50,EUR
18.03.2018,debit,takeaway food,-22.18,EUR
17.03.2018,debit,takeaway food,-17.49,EUR
17.03.2018,debit,takeaway food,-20.9,EUR
17.03.2018,debit,paypal,-1.8,EUR
17.03.2018,debit,online learning,-29.49,EUR
16.03.2018,debit,internet,-39.9,EUR
13.03.2018,debit,coffee,-7.48,EUR
13.03.2018,Cash Deposit/Withdrawal,cash withdrawal,-700,EUR
13.03.2018,debit,mcdonalds,-8.99,EUR
13.03.2018,debit,gas station,-55.93,EUR
13.03.2018,debit,takeaway food,-14.5,EUR
12.03.2018,debit,paypal,-40,EUR
11.03.2018,debit,mcdonalds,-13.78,EUR
11.03.2018,debit,supermarket,-31.48,EUR
11.03.2018,debit,coffee,-6,EUR
11.03.2018,debit,netflix,-11.99,EUR
10.03.2018,debit,gas station,-42.48,EUR
10.03.2018,debit,takeaway food,-20.5,EUR
10.03.2018,debit,paypal,-24.99,EUR
10.03.2018,debit,takeaway food,-22.31,EUR
10.03.2018,debit,paypal,-9.99,EUR
09.03.2018,debit,supermarket,-44.71,EUR
09.03.2018,debit,electronics store,-139.94,EUR
06.03.2018,debit,gas station,-52.31,EUR
06.03.2018,debit,paypal,-112.49,EUR
05.03.2018,transfer,rent,-1490,EUR
04.03.2018,debit,gas station,-4.78,EUR
04.03.2018,debit,car insurance,-158.35,EUR
03.03.2018,debit,mcdonalds,-8.99,EUR
03.03.2018,debit,gas station,-39.81,EUR
03.03.2018,debit,paypal,-18.07,EUR
03.03.2018,debit,paypal,-1.99,EUR
03.03.2018,debit,takeaway food,-14.5,EUR
03.03.2018,debit,paypal,-22.11,EUR
03.03.2018,debit,takeaway food,-20.55,EUR
03.03.2018,debit,takeaway food,-14.99,EUR
02.03.2018,debit,gas station,-2.99,EUR
02.03.2018,debit,supermarket,-67.48,EUR
02.03.2018,debit,credit card,-494.64,EUR
02.03.2018,debit,gas station,-27.05,EUR
02.03.2018,debit,health insurance,-390,EUR
02.03.2018,debit,loan,-350.56,EUR
02.03.2018,debit,public transportation ,-87.2,EUR
02.03.2018,debit,car rate,-350,EUR
02.03.2018,debit,gym,-15,EUR
02.03.2018,debit,electricity,-40,EUR
02.03.2018,debit,health insurance,-45,EUR
02.03.2018,debit,takeaway food,-18.49,EUR
02.03.2018,debit,paypal,-22.61,EUR
02.03.2018,debit,loan,-149.1,EUR
02.03.2018,debit,gas,-58,EUR
28.02.2018,interest/charges,interest,-0.8,EUR
28.02.2018,debit,gas station,-52.38,EUR
28.02.2018,debit,spotify,-9.99,EUR
28.02.2018,debit,telephone,-100.06,EUR
27.02.2018,debit,mcdonalds,-8.99,EUR
27.02.2018,debit,takeaway food,-21.4,EUR
26.02.2018,credit,income,6390.87,EUR
25.02.2018,debit,supermarket,-1.94,EUR
25.02.2018,debit,gas station,-36.32,EUR
25.02.2018,debit,takeaway food,-23.3,EUR
25.02.2018,debit,takeaway food,-14.5,EUR
25.02.2018,debit,takeaway food,-11,EUR
24.02.2018,debit,supermarket,-23.36,EUR
24.02.2018,debit,damages insurance,-59.34,EUR
21.02.2018,debit,mcdonalds,-8.99,EUR
21.02.2018,debit,gas station,-49.09,EUR
21.02.2018,debit,paypal,-55.83,EUR
21.02.2018,debit,paypal,-100,EUR
20.02.2018,Cash Deposit/Withdrawal,cash withdrawal,-30,EUR
20.02.2018,debit,paypal,-1.8,EUR
20.02.2018,debit,paypal,-1.8,EUR
18.02.2018,debit,gas station,-57.22,EUR
18.02.2018,debit,takeaway food,-22.4,EUR
18.02.2018,debit,takeaway food,-22.9,EUR
18.02.2018,debit,online learning,-29.49,EUR
18.02.2018,debit,takeaway food,-18.99,EUR
17.02.2018,debit,takeaway food,-14.5,EUR
17.02.2018,debit,internet,-39.9,EUR
14.02.2018,debit,coffee,-10,EUR
14.02.2018,debit,coffee,-6,EUR
14.02.2018,transfer,rent,-1490,EUR
13.02.2018,debit,gas station,-52.05,EUR
13.02.2018,debit,paypal,-40,EUR
13.02.2018,debit,takeaway food,-19.49,EUR
12.02.2018,credit,money transfer,25,EUR
12.02.2018,debit,takeaway food,-20.46,EUR
11.02.2018,debit,takeaway food,-18.8,EUR
11.02.2018,debit,paypal,-24.99,EUR
11.02.2018,debit,takeaway food,-14.5,EUR
11.02.2018,debit,takeaway food,-10.4,EUR
11.02.2018,debit,bar,-289.9,EUR
11.02.2018,debit,takeaway food,-19.49,EUR
11.02.2018,debit,takeaway food,-18.99,EUR
11.02.2018,debit,netflix,-11.99,EUR
11.02.2018,debit,paypal,-9.99,EUR
10.02.2018,debit,mcdonalds,-8.49,EUR
10.02.2018,debit,supermarket,-11.87,EUR
07.02.2018,debit,gas station,-56.34,EUR
07.02.2018,debit,takeaway food,-21.4,EUR
06.02.2018,debit,paypal,-10,EUR
06.02.2018,debit,paypal,-72.62,EUR
05.02.2018,debit,mcdonalds,-8.99,EUR
04.02.2018,debit,gas station,-42.14,EUR
04.02.2018,debit,paypal,-17.97,EUR
04.02.2018,debit,takeaway food,-14.5,EUR
04.02.2018,debit,takeaway food,-23.99,EUR
04.02.2018,debit,car insurance,-158.35,EUR
03.02.2018,debit,public transportation ,-87.2,EUR
03.02.2018,debit,car rate,-350,EUR
03.02.2018,debit,health insurance,-45,EUR
03.02.2018,debit,health insurance,-390,EUR
03.02.2018,debit,gym,-15,EUR
03.02.2018,debit,gas station,-27.05,EUR
03.02.2018,debit,paypal,-22.21,EUR
03.02.2018,debit,gas,-58,EUR
03.02.2018,debit,electricity,-40,EUR
03.02.2018,debit,loan,-149.1,EUR
03.02.2018,debit,loan,-350.56,EUR
31.01.2018,interest/charges,interest,-0.8,EUR
31.01.2018,debit,electronics store,-417.95,EUR
31.01.2018,debit,gas station,-57.08,EUR
31.01.2018,debit,paypal,-1.99,EUR
31.01.2018,debit,credit card,-46.03,EUR
31.01.2018,debit,paypal,-100,EUR
30.01.2018,debit,paypal,-1.8,EUR
29.01.2018,debit,paypal,-30.46,EUR
29.01.2018,debit,paypal,-22.61,EUR
29.01.2018,debit,paypal,-6.66,EUR
28.01.2018,debit,gas station,-52.73,EUR
28.01.2018,debit,spotify,-9.99,EUR
28.01.2018,debit,paypal,-223.51,EUR
28.01.2018,debit,telephone,-99.98,EUR
28.01.2018,debit,takeaway food,-14.5,EUR
28.01.2018,debit,takeaway food,-21.2,EUR
28.01.2018,debit,takeaway food,-19.49,EUR
27.01.2018,credit,income,6390.87,EUR
27.01.2018,debit,takeaway food,-14.99,EUR
24.01.2018,debit,takeaway food,-22.9,EUR
23.01.2018,debit,gas station,-55.73,EUR
23.01.2018,debit,online learning,-71,EUR
22.01.2018,debit,takeaway food,-18.57,EUR
21.01.2018,debit,takeaway food,-14.5,EUR
21.01.2018,debit,takeaway food,-14.99,EUR
21.01.2018,debit,takeaway food,-10.54,EUR
20.01.2018,debit,gas station,-54.89,EUR
17.01.2018,debit,takeaway food,-22.9,EUR
16.01.2018,debit,online learning,-29.49,EUR
15.01.2018,debit,gas station,-42.16,EUR
15.01.2018,debit,internet,-39.9,EUR
14.01.2018,debit,takeaway food,-20.08,EUR
14.01.2018,debit,takeaway food,-11,EUR
14.01.2018,interest/charges,interest,0,EUR
14.01.2018,interest/charges,interest,0,EUR
13.01.2018,debit,gas station,-28.11,EUR
13.01.2018,debit,paypal,-9.99,EUR
13.01.2018,debit,netflix,-11.99,EUR
10.01.2018,debit,takeaway food,-11,EUR
09.01.2018,debit,car maintenance,-483.2,EUR
09.01.2018,debit,bar,-20.01,EUR
09.01.2018,debit,takeaway food,-14.99,EUR
